#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;839039;844977;5938;50;1411;0
2;Bugalugs214;bugalugs214;2535471084374195;234520;238910;4390;48;957;0
3;BeardoN7x;BeardoA7x;2533274924115209;126260;129295;3035;46;469;0
4;Plagueborne;The Wicked Soul;2533274925208344;952702;954832;2130;44;944;0
5;CallMeCraig;matsze;2533274817036922;265266;267031;1765;42;798;0
6;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;750265;751720;1455;40;1470;0
7;NierlyCrazy;Nierly Crazy;2533274896685914;458645;459875;1230;38;855;0
8;Shadowgasm;Shadowgasm;2736338880739054;368774;369989;1215;36;398;0
9;SheepDip;Ryuukishi634;2533274841110750;435105;436040;935;34;917;0
10;APOPHIS1989;APOPHIS1989;2533274792861176;372741;373578;837;32;1147;0
11;MasterLeePhD;Master Lee PhD;2533274793230093;382649;383479;830;30;986;0
12;FairyEmpire;baboy1337;2533274848211122;454583;455348;765;28;815;0
13;Scottish_Sin;Scottish Sin;2533274798575633;578385;579040;655;26;694;0
14;UnveiledArk;UnveiledArk;2533274934249959;434040;434640;600;24;899;0
15;TheSlickTony;TheSlickTony;2533275010815429;116568;117143;575;22;137;0
16;Cyime;Cyime;2533274809898296;239760;240280;520;20;712;0
17;Mort;Mortaigne;2533274924850886;190367;190867;500;18;567;0
18;FunkyOne;Sir Funkified;2533274831236982;252590;253055;465;16;308;0
19;judge;judge;2533274802991000;446940;447385;445;14;773;0
20;Kreten;Cro Kreten;2690766741657668;269595;270018;423;12;171;0
21;n0tjack;n0tjack;2533274808155558;201586;201991;405;10;383;0
22;binarymelon;binarymelon;2533274792088847;26736;27106;370;8;535;0
23;BadMoodJones;Junglee91;2533275020457265;141262;141602;340;6;260;0
24;Knottian;Knottian;2533274805216213;232826;233156;330;4;359;0
25;dscharles;dscharles;2533275014769270;77945;78215;270;2;277;0
25;profjjj;profjjj;2533274829351135;147402;147672;270;2;470;0
27;Akosii;Akosii;2533274876129944;380085;380345;260;1;586;0
28;PhantomFox;PhantomFox75-460;2535436728258152;74012;74267;255;1;187;0
29;RoslindaleOne;RoslindaleOne;2594261035379451;388585;388825;240;1;207;0
30;Chyld989;Chyld989;2533274824150207;452825;453045;220;1;1125;0
31;low187;ShadowArceus5;2533274870566975;261970;262180;210;1;287;0
32;OneBadMutha;OneBadMutha;2728296738546254;61262;61462;200;1;131;0
33;Mark3;Mark 3;2533274791777168;184930;185125;195;1;251;0
34;Running_Riot;BoutTreeFidy-208;2535457582061110;53523;53620;97;1;247;0
35;MrZweistein;MrZweistein;2533274796780325;145000;145090;90;1;209;0
36;supercommodore;supercommodore;2533274982646378;35812;35897;85;1;324;0
37;DeusJabu;DeusJabu;2535431624153776;187345;187420;75;1;519;0
38;BananaBox39;MaidenLOKO;2533274891998560;197650;197710;60;1;186;0
39;BigM_Milk4;BigMMilk-9208;2533274975549845;46072;46077;5;1;99;0
40;dfunktjester;dFunkt jestEr;2533274829581469;122703;122703;0;0;72;0
40;Zonky;Zonky;2535470751963594;159070;159070;0;0;945;0
40;Sikamikanico;Sikamikanico;2599622463478870;142343;142343;0;0;173;0
40;xJavontax;xJavontax;2533274819674251;51206;51206;0;0;23;0
40;MMarfil;MMarfil;2533274884719422;107354;107354;0;0;41;0
40;brunopcosta1;brunopcosta1;2535437287890796;288238;288238;0;0;548;0
40;BrigadiersBlue;Brigadiers Blue;2533274916311937;95978;95978;0;0;833;0
40;TheSego;The Sego;2533274801846949;155674;155674;0;0;70;0
40;michael;Rngesus37;2535419776788793;43717;43717;0;0;84;0
40;Bluehawk357;BlueHawk357;2533274876723326;123034;123034;0;0;259;0
40;Xumbrega;ctZz1;2533274892320729;160370;160370;0;0;100;0
40;Darthvader2795;Darthvader2795;2535442004967288;76621;76621;0;0;2;0
40;Foorbits;Foorbits;2624419068575218;51153;51153;0;0;2;0
40;DannySuperb;Danny Superb;2535423690428067;1830;1830;0;0;0;0
