#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Bugalugs214;bugalugs214;2535471084374195;238910;249940;11030;50;0;50
2;Zonky;Zonky;2535470751963594;159070;162215;3145;48;0;48
3;Plagueborne;The Wicked Soul;2533274925208344;954832;957442;2610;46;0;46
4;CallMeCraig;matsze;2533274817036922;267031;268584;1553;44;0;44
5;Akosii;Akosii;2533274876129944;380345;381845;1500;42;0;42
6;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;751720;753185;1465;40;0;40
7;Cyime;Cyime;2533274809898296;240280;241660;1380;38;0;38
8;Mort;Mortaigne;2533274924850886;190867;192087;1220;36;0;36
9;judge;judge;2533274802991000;447385;448585;1200;34;0;34
10;ShadowlessEdge;Shadowless Edge;2535418358478334;844977;846157;1180;32;0;32
11;APOPHIS1989;APOPHIS1989;2533274792861176;373578;374723;1145;30;0;30
12;NierlyCrazy;Nierly Crazy;2533274896685914;459875;460970;1095;28;0;28
13;TheSlickTony;TheSlickTony;2533275010815429;117143;118028;885;26;0;26
14;MasterLeePhD;Master Lee PhD;2533274793230093;383479;384284;805;24;0;24
15;Scottish_Sin;Scottish Sin;2533274798575633;579040;579790;750;22;0;22
16;FairyEmpire;baboy1337;2533274848211122;455348;455873;525;20;0;20
17;UnveiledArk;UnveiledArk;2533274934249959;434640;435160;520;18;0;18
18;SheepDip;Ryuukishi634;2533274841110750;436040;436535;495;16;0;16
19;Knottian;Knottian;2533274805216213;233156;233646;490;14;0;14
20;n0tjack;n0tjack;2533274808155558;201991;202476;485;12;0;12
21;Shadowgasm;Shadowgasm;2736338880739054;369989;370399;410;10;0;10
21;Sikamikanico;Sikamikanico;2599622463478870;142343;142753;410;10;0;10
23;PhantomFox;PhantomFox75-460;2535436728258152;74267;74597;330;6;0;6
24;OneBadMutha;OneBadMutha;2728296738546254;61462;61747;285;4;0;4
25;DeusJabu;DeusJabu;2535431624153776;187420;187590;170;2;0;2
26;FunkyOne;Sir Funkified;2533274831236982;253055;253215;160;1;0;1
26;MrZweistein;MrZweistein;2533274796780325;145090;145250;160;1;0;1
28;low187;ShadowArceus5;2533274870566975;262180;262330;150;1;0;1
29;binarymelon;binarymelon;2533274792088847;27106;27216;110;1;0;1
30;dfunktjester;dFunkt jestEr;2533274829581469;122703;122803;100;1;0;1
31;BadMoodJones;Junglee91;2533275020457265;141602;141697;95;1;0;1
32;BananaBox39;MaidenLOKO;2533274891998560;197710;197800;90;1;0;1
33;dscharles;dscharles;2533275014769270;78215;78294;79;1;0;1
34;Kreten;Cro Kreten;2690766741657668;270018;270063;45;1;0;1
35;supercommodore;supercommodore;2533274982646378;35897;35937;40;1;0;1
36;profjjj;profjjj;2533274829351135;147672;147697;25;1;0;1
37;Running_Riot;BoutTreeFidy-208;2535457582061110;53620;53640;20;1;0;1
37;xJavontax;xJavontax;2533274819674251;51206;51226;20;1;0;1
39;Bluehawk357;BlueHawk357;2533274876723326;123034;123049;15;1;0;1
40;RoslindaleOne;RoslindaleOne;2594261035379451;388825;388835;10;1;0;1
40;Mark3;Mark 3;2533274791777168;185125;185135;10;1;0;1
42;BeardoN7x;BeardoA7x;2533274924115209;129295;129295;0;0;0;0
42;Chyld989;Chyld989;2533274824150207;453045;453045;0;0;0;0
42;BigM_Milk4;BigMMilk-9208;2533274975549845;46077;46077;0;0;0;0
42;MMarfil;MMarfil;2533274884719422;107354;107354;0;0;0;0
42;brunopcosta1;brunopcosta1;2535437287890796;288238;288238;0;0;0;0
42;BrigadiersBlue;Brigadiers Blue;2533274916311937;95978;95978;0;0;0;0
42;TheSego;The Sego;2533274801846949;155674;155674;0;0;0;0
42;michael;Rngesus37;2535419776788793;43717;43717;0;0;0;0
42;Xumbrega;ctZz1;2533274892320729;160370;160370;0;0;0;0
42;Darthvader2795;Darthvader2795;2535442004967288;76621;76621;0;0;0;0
42;Foorbits;Foorbits;2624419068575218;51153;51153;0;0;0;0
42;DannySuperb;Danny Superb;2535423690428067;1830;1830;0;0;0;0
